Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate
Maine,US,2021-01-13 05:30:34,44.6939,-69.3819,30326,449,11768,18109,23,2256.04294560679,1203694,,1.48057772208666,84000023,USA,89546.4405912163,
Maryland,US,2021-01-13 05:30:34,39.0639,-76.8021,312351,6367,9434,296550,24,5166.5155946064,6220019,,2.03841191480098,84000024,USA,102883.695465192,
Massachusetts,US,2021-01-13 05:30:34,42.2302,-71.5301,442529,13273,293522,135734,25,6420.43971544155,11844709,,2.9993514549329,84000025,USA,171849.167131302,
Michigan,US,2021-01-13 05:30:34,43.3266,-84.5361,570150,14296,415079,140775,26,5709.00334309383,8624043,,2.50741033061475,84000026,USA,86353.9249635796,
Minnesota,US,2021-01-13 05:30:34,45.6945,-93.9002,438867,5792,418610,14465,27,7781.83753833583,5714994,,1.31976202357434,84000027,USA,101336.292864499,
Mississippi,US,2021-01-13 05:30:34,32.7416,-89.6787,241957,5284,198888,37785,28,8129.86849784739,1464883,,2.18385911546266,84000028,USA,49220.7547404381,
Missouri,US,2021-01-13 05:30:34,38.4561,-92.2884,486456,6383,,,29,7926.05632196418,3844238,,1.31214333876034,84000029,USA,62635.9771552514,
Montana,US,2021-01-13 05:30:34,46.9219,-110.4544,87077,1067,81183,4827,30,8147.34210472147,851594,,1.22535227442379,84000030,USA,79679.2224390846,
Nebraska,US,2021-01-13 05:30:34,41.1254,-98.2681,177670,1791,122564,53315,31,9184.72214755109,1861366,,1.00804862948162,84000031,USA,96224.064416607,
Nevada,US,2021-01-13 05:30:34,38.3135,-117.0554,252842,3546,,,32,8208.74007680131,2254748,,1.40245687029845,84000032,USA,73202.3962422683,
New Hampshire,US,2021-01-13 05:30:34,43.4525,-71.5639,54516,878,46031,7607,33,4009.38140531334,1104602,,1.61053635629907,84000033,USA,81237.998368771,
New Jersey,US,2021-01-13 05:30:34,40.2989,-74.521,594749,20039,60328,514382,34,6695.97250227703,8469406,,3.36932050327113,84000034,USA,95352.6776617028,
New Mexico,US,2021-01-13 05:30:34,34.8405,-106.2485,157974,2794,80580,74600,35,7533.9476895827,2113785,,1.76864547330573,84000035,USA,100808.649632373,
New York,US,2021-01-13 05:30:34,42.1657,-74.9481,1164562,39835,111141,1013586,36,5986.36928221008,27721577,,3.42059933262463,84000036,USA,142501.29834841,
North Carolina,US,2021-01-13 05:30:34,35.6301,-79.8064,635975,7638,521475,106862,37,6063.78629309224,7727649,,1.20099060497661,84000037,USA,73680.2737277848,
North Dakota,US,2021-01-13 05:30:34,47.5289,-99.784,94968,1363,91850,1755,38,12461.9781592574,1282799,,1.43522028472749,84000038,USA,168332.629103669,
Northern Mariana Islands,US,2021-01-13 05:30:34,15.0979,145.6739,128,2,29,97,69,232.119541563905,17557,,1.5625,580,MNP,31838.4593065429,
Ohio,US,2021-01-13 05:30:34,40.3888,-82.7649,792938,15336,648724,128878,39,6783.56759716317,8225635,,1.93407302966941,84000039,USA,70370.1311478215,
Oklahoma,US,2021-01-13 05:30:34,35.5653,-96.9289,337900,2804,294629,40467,40,8539.36003069014,2864080,,0.829831311038769,84000040,USA,72380.6163856142,
Oregon,US,2021-01-13 05:30:34,44.572,-122.0709,127780,1667,5870,120243,41,3029.58671913398,2839839,,1.30458600719987,84000041,USA,67330.8696108837,
Pennsylvania,US,2021-01-13 05:30:34,40.5908,-77.2098,741976,18137,542737,181102,42,5795.78688905294,8198497,,2.4444186873969,84000042,USA,32312.0805681055,
Puerto Rico,US,2021-01-13 05:30:34,18.2208,-66.5901,84427,1645,73760,9022,72,2643.55320202875,1445050,,1.94842882016417,630,PRI,45246.9773246905,
Rhode Island,US,2021-01-13 05:30:34,41.6809,-71.5118,101393,2109,6042,93242,44,9571.14713492379,2179821,,2.0800252482913,84000044,USA,205767.53344705,
South Carolina,US,2021-01-13 05:30:34,33.8569,-80.945,359357,5860,166724,186773,45,6979.54867953435,3498188,,1.63069037196994,84000045,USA,67942.946529949,
South Dakota,US,2021-01-13 05:30:34,44.2998,-99.4388,103743,1585,97407,4751,46,11726.8913784859,385382,,1.52781392479493,84000046,USA,43562.7739049736,
Tennessee,US,2021-01-13 05:30:34,35.7478,-86.6923,660874,8011,579345,73518,47,9677.21718614872,5986016,,1.21218265509008,84000047,USA,87653.5873884602,
Texas,US,2021-01-13 05:30:34,31.0545,-97.5635,2014645,30895,1595600,388150,48,6948.03858520457,15031531,,1.53352079398604,84000048,USA,51840.2286172991,
Utah,US,2021-01-13 05:30:34,40.15,-111.8624,309629,1422,253415,54792,49,9657.92440200402,2394548,,0.459259307106247,84000049,USA,74690.5605126455,
Vermont,US,2021-01-13 05:30:34,44.0459,-72.7107,9247,158,6226,2863,50,1481.91714918051,767325,,1.70866226884395,84000050,USA,122970.917756563,
Virgin Islands,US,2021-01-13 05:30:34,18.3358,-64.8963,2166,24,2008,134,78,2019.24152589775,37925,,1.10803324099723,850,VIR,35355.3715926465,
Virginia,US,2021-01-13 05:30:34,37.7693,-78.17,407947,5477,33562,368908,51,4779.40474387088,4640967,,1.34257636408651,84000051,USA,54372.4054741135,
Washington,US,2021-01-13 05:30:34,47.4009,-121.4905,278544,3789,,,53,3657.88462162239,4087531,,1.36028778218163,84000053,USA,53678.1147154661,
West Virginia,US,2021-01-13 05:30:34,38.4912,-80.9545,103203,1634,72992,28577,54,5758.62359505108,1684532,,1.58328730753951,84000054,USA,93995.1912426827,
Wisconsin,US,2021-01-13 05:30:34,44.2685,-89.6165,555249,5633,477460,72156,55,9536.37258919551,5644935,,1.01449980099019,84000055,USA,96951.4639410254,
Wyoming,US,2021-01-13 05:30:34,42.756,-107.3025,48072,522,45223,2327,56,8306.04794050719,536070,,1.08587119321018,84000056,USA,92624.0455871961,
Alabama,US,2021-01-14 05:30:28,32.3182,-86.9023,410995,5760,211684,193551,1,8382.20462821615,3459675,,1.40147690361197,84000001,USA,70559.7484084325,
Alaska,US,2021-01-14 05:30:28,61.3707,-152.4044,50840,226,7165,43449,2,6949.67500290481,1370835,,0.444531864673485,84000002,USA,187389.019130744,
American Samoa,US,2021-01-14 05:30:28,-14.271,-170.132,0,0,,,60,0,2140,,,16,ASM,3846.08472169803,
Arizona,US,2021-01-14 05:30:28,33.7298,-111.4312,641729,10673,87672,543384,4,8816.51258044515,5788321,,1.66316311090819,84000004,USA,43025.9206395853,
Arkansas,US,2021-01-14 05:30:28,34.9697,-92.3731,262020,4186,229700,28134,5,8682.47242034274,2208736,,1.59758797038394,84000005,USA,73190.1740470885,
California,US,2021-01-14 09:30:29,36.1162,-119.6816,2933478,31187,,,6,7424.45192213053,36842651,,1.06310885795649,84000006,USA,93243.6805694278,
Colorado,US,2021-01-14 05:30:28,39.0598,-105.3111,366774,5285,19457,342032,8,6369.00180873025,4856955,,1.44094183339059,84000008,USA,84340.6435023241,
Connecticut,US,2021-01-14 05:30:28,41.5978,-72.7554,220576,6536,9800,204240,9,6186.76701202456,4828069,,2.96315102277673,84000009,USA,135418.803591408,
Delaware,US,2021-01-14 05:30:28,39.3185,-75.5071,67173,1166,18851,47156,10,6898.28336229312,1081445,,1.73581647388087,84000010,USA,111058.22355314,
Diamond Princess,US,2021-01-14 05:30:28,,,49,0,,,88888,,,,0,84088888,USA,,
District of Columbia,US,2021-01-14 05:30:28,38.8974,-77.0268,32600,831,22673,9096,11,4619.20597832941,973570,,2.54907975460123,84000011,USA,137948.477433195,
Florida,US,2021-01-14 05:30:28,27.7663,-81.6868,1517472,23396,,,12,7065.32536458566,18777007,,1.54177474114844,84000012,USA,87425.4443100779,
Georgia,US,2021-01-14 05:30:28,33.0406,-83.6431,782288,11803,,,13,7367.96490071084,5763974,,1.50877937537071,84000013,USA,54287.8813437121,
Grand Princess,US,2021-01-14 05:30:28,,,103,3,,,99999,,,,2.9126213592233,84099999,USA,,
Guam,US,2021-01-14 05:30:28,13.4443,144.7937,7444,124,7208,112,66,4532.69519999513,99819,,1.66577109081139,316,GUM,60780.3737464151,
Hawaii,US,2021-01-14 05:30:28,21.0943,-157.4983,24352,312,11958,12082,15,1719.9294851512,882893,,1.28120893561104,84000015,USA,62356.8373412286,
Idaho,US,2021-01-14 05:30:28,44.2405,-114.4788,152364,1564,67633,83167,16,8525.93498277903,566225,,1.02648919692316,84000016,USA,31684.6337430368,
Illinois,US,2021-01-14 05:30:28,40.3495,-88.9861,1046030,19617,,,17,8254.77253821688,14339584,,1.87537642323834,84000017,USA,113161.194432907,
Indiana,US,2021-01-14 05:30:28,39.8494,-86.2583,574119,10334,372444,191341,18,8527.93113236512,6220087,,1.79997526645173,84000018,USA,92392.8202573327,
Iowa,US,2021-01-14 05:30:28,42.0115,-93.2105,301161,4232,260557,36372,19,9545.30327377839,1205222,,1.40522843263238,84000019,USA,38199.5328154367,
Kansas,US,2021-01-14 05:30:28,38.5266,-96.7265,254104,3375,5026,245703,20,8722.16314478975,1083932,,1.32819632906212,84000020,USA,37206.1507959664,
Kentucky,US,2021-01-14 05:30:28,37.6681,-84.6701,313281,2991,39723,270567,21,7012.17389902976,3366855,,0.954733928964731,84000021,USA,75360.3721668976,
Louisiana,US,2021-01-14 05:30:28,31.1695,-91.8678,355835,8022,298614,49199,22,7654.35078431094,4527858,,2.25441567018421,84000022,USA,97398.5511080938,
Maine,US,2021-01-14 05:30:28,44.6939,-69.3819,31150,453,11809,18888,23,2317.34280009403,1214698,,1.45425361155698,84000023,USA,90365.0614635192,
Maryland,US,2021-01-14 05:30:28,39.0639,-76.8021,314867,6404,9439,299024,24,5208.1320877056,6254353,,2.03387462007768,84000024,USA,103451.605113072,
Massachusetts,US,2021-01-14 05:30:28,42.2302,-71.5301,448447,13359,293522,141566,25,6506.30112166799,11944985,,2.97894734494823,84000025,USA,173304.023226395,
Michigan,US,2021-01-14 05:30:28,43.3266,-84.5361,573278,14336,415079,143863,26,5740.32450850152,8665671,,2.50070646353078,84000026,USA,86770.7528004056,
